Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin
S_301,50.96,17.11,9502.278649368596,0,0
S_303,51.0,17.11,5062.534830177265,0,0
S_305,51.04,17.11,752.6021058611249,0,0
S_306,51.06,17.11,404.70067860329107,0,0
S_308,51.1,17.11,626.639890995596,124,0
S_309,51.12,17.11,293.12140737681347,400,0
S_31,50.96,16.75,18000.470905369522,0,0
S_311,51.16,17.11,11.974441257387422,96,0
S_313,51.2,17.11,2734.1440659639547,0,0
S_314,51.22,17.11,4788.973441161141,0,0
S_316,50.96,17.13,9406.611013607395,0,0
S_318,51.0,17.13,4998.414551367272,0,0
S_32,50.98,16.75,15952.247462011475,0,0
S_320,51.04,17.13,1041.5912548421352,0,0
S_322,51.08,17.13,49.6135296497983,0,0
S_324,51.12,17.13,26.32567471779296,52,0
S_326,51.16,17.13,94.59162240169668,258,0
S_328,51.2,17.13,2233.8334123942354,0,0
S_33,51.0,16.75,13953.746654401524,0,0
S_330,51.24,17.13,6649.757122092191,0,0
S_331,50.96,17.15,9302.065628001628,0,0
S_333,51.0,17.15,4852.415661603735,0,0
S_334,51.02,17.15,2627.7286660969885,0,0
S_335,51.04,17.15,405.3255842916269,0,0
S_336,51.06,17.15,311.10058652567477,0,0
S_338,51.1,17.15,47.71133279133735,48,0
S_34,51.02,16.75,12028.58577000032,0,0
S_340,51.14,17.15,612.9558315376042,0,0
S_342,51.18,17.15,504.73404352611607,0,0
S_344,51.22,17.15,4456.511132128606,0,0
S_346,50.96,17.17,9400.094892925817,0,0
S_347,50.98,17.17,7205.537667660058,0,0
S_348,51.0,17.17,5037.643313075092,0,0
S_349,51.02,17.17,2955.6922018360483,0,0
S_35,51.04,16.75,10225.838452160657,0,0
S_351,51.06,17.17,928.5546687939475,0,0
S_353,51.1,17.17,64.3623122469601,11,0
S_354,51.12,17.17,782.985738214666,0,0
S_356,51.16,17.17,1175.4965255710579,0,0
S_357,51.18,17.17,1045.405382052987,0,0
S_358,51.2,17.17,2797.905024062247,0,0
S_359,51.22,17.17,4848.664960109084,0,0
S_36,51.06,16.75,8622.635029524121,0,0
S_360,51.24,17.17,6936.034365292944,0,0
S_362,50.98,17.19,7595.544875188068,0,0
S_364,51.02,17.19,3808.3814485975963,0,0
S_366,51.06,17.19,1391.3829292996506,0,0
S_367,51.08,17.19,1721.6045046302854,0,0
S_368,51.1,17.19,1184.036912541745,0,0
S_369,51.12,17.19,1776.3806349218871,0,0
S_37,51.08,16.75,7350.725399726949,0,0
S_371,51.16,17.19,2567.547044450593,0,0
S_373,51.2,17.19,3548.269857966122,0,0
S_374,51.22,17.19,5404.641768609151,0,0
S_375,51.24,17.19,7456.230708247526,0,0
S_376,50.96,17.21,10190.839513748497,0,0
S_377,50.98,17.21,8210.03594069413,0,0
S_379,51.02,17.21,4906.809099143584,0,0
S_38,51.1,16.75,5908.015345296582,0,0
S_380,51.04,17.21,3974.2828330832813,0,0
S_382,51.08,17.21,2818.8981827577068,0,0
S_384,51.12,17.21,2811.402315802659,0,0
S_386,51.16,17.21,3964.297130363847,0,0
S_389,51.22,17.21,6155.712601673673,0,0
S_39,51.12,16.75,4534.291563557253,0,0
S_390,51.24,17.21,8024.6705081537875,0,0
S_391,50.96,17.23,10840.25969081234,0,0
S_392,50.98,17.23,9003.161363737108,0,0
S_393,51.0,17.23,7382.589353045482,0,0
S_394,51.02,17.23,6111.605858024738,0,0
S_395,51.04,17.23,4971.335173736405,0,0
S_396,51.06,17.23,3979.4203762763173,0,0
S_397,51.08,17.23,4105.821277418549,0,0
S_398,51.1,17.23,3825.2388521305174,0,0
S_399,51.12,17.23,4059.24751098903,0,0
S_4,51.02,16.71,13746.899774716263,0,0
S_40,51.14,16.75,4013.110042361553,0,0
S_400,51.14,17.23,5077.889591772684,0,0
S_401,51.16,17.23,5362.238851744935,0,0
S_402,51.18,17.23,5164.650253401098,0,0
S_403,51.2,17.23,5791.946670621568,0,0
S_404,51.22,17.23,7093.700827252286,0,0
S_405,51.24,17.23,8774.710761505301,0,0
S_406,50.96,17.25,11623.715328983602,0,0
S_407,50.98,17.25,9932.217903269244,0,0
S_41,51.16,16.75,4531.119295161696,0,0
S_410,51.04,17.25,6129.1194061255255,0,0
S_412,51.08,17.25,5449.646214796447,0,0
S_414,51.12,17.25,5382.7184159775925,0,0
S_415,51.14,17.25,6380.169182758276,0,0
S_417,51.18,17.25,6559.259200270753,0,0
S_418,51.2,17.25,7063.273077274323,0,0
S_419,51.22,17.25,8164.353191759555,0,0
S_42,51.18,16.75,5112.8447514642985,0,0
S_43,51.2,16.75,5706.64132954761,0,0
S_44,51.22,16.75,6775.548434194237,0,0
S_45,51.24,16.75,8302.081445945038,0,0
S_46,50.96,16.77,17022.908120220254,0,0
S_47,50.98,16.77,15422.41639279965,0,0
S_48,51.0,16.77,13349.921110816154,0,0
S_49,51.02,16.77,11333.075173326233,0,0
S_5,51.04,16.71,12199.952563339264,0,0
S_50,51.04,16.77,9398.22334858242,0,0
