Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin,NDVI,NDWI,NDMI,Forecast_Date,Step
S_356,51.16,17.17,1175.496525571058,0,0,0.29443157,-0.38506237,-0.083563216,2026-03-01,1
S_357,51.18,17.17,1045.405382052987,0,0,0.32643893,-0.41894776,-0.067905515,2026-03-01,1
S_358,51.2,17.17,2797.905024062247,0,0,0.4176417,-0.51415014,-0.08559996,2026-03-01,1
S_359,51.22,17.17,4848.664960109084,0,0,0.444735,-0.52393866,-0.03499285,2026-03-01,1
S_36,51.06,16.75,8622.635029524121,0,0,0.2944955,-0.39525715,-0.104524896,2026-03-01,1
S_360,51.24,17.17,6936.034365292944,0,0,0.31862944,-0.41587877,-0.01753713,2026-03-01,1
S_362,50.98,17.19,7595.544875188068,0,0,0.42586118,-0.49506184,-0.061127532,2026-03-01,1
S_364,51.02,17.19,3808.381448597596,0,0,0.353344,-0.46794754,-0.11411728,2026-03-01,1
S_366,51.06,17.19,1391.3829292996506,0,0,0.33562487,-0.42098975,-0.08071717,2026-03-01,1
S_367,51.08,17.19,1721.6045046302854,0,0,0.40521383,-0.47915268,-0.018248018,2026-03-01,1
S_368,51.1,17.19,1184.036912541745,0,0,0.321682,-0.41934356,-0.076619014,2026-03-01,1
S_369,51.12,17.19,1776.3806349218871,0,0,0.29186893,-0.40591443,-0.088403404,2026-03-01,1
S_37,51.08,16.75,7350.725399726949,0,0,0.33902928,-0.4297843,-0.092744514,2026-03-01,1
S_371,51.16,17.19,2567.547044450593,0,0,0.33722627,-0.44076377,-0.06679203,2026-03-01,1
S_373,51.2,17.19,3548.269857966122,0,0,0.37230673,-0.46341085,-0.08389915,2026-03-01,1
S_374,51.22,17.19,5404.641768609151,0,0,0.35577148,-0.45261735,-0.07565326,2026-03-01,1
S_375,51.24,17.19,7456.230708247526,0,0,0.31890437,-0.41620412,-0.04334765,2026-03-01,1
