ID_mpwik,geometry
93245,POINT (6421554.23 5668418.04)
93775,POINT (6426871.8 5660681.63)
93779,POINT (6426935.12 5660582.33)
93781,POINT (6426862.99 5660678.51)
93785,POINT (6426942.52 5660574.09)
93789,POINT (6426897.95 5660623.32)
93795,POINT (6422959.19 5664498.74)
93817,POINT (6432259.04 5660236.4)
93821,POINT (6429686.36 5664560.46)
93837,POINT (6432379.86 5661248.55)
93843,POINT (6432406.38 5661376.72)
91445,POINT (6437118.78 5666102.97)
91853,POINT (6434805.89 5664702.62)
91863,POINT (6435098.44 5664931.66)
90325,POINT (6434890.64 5667296.65)
90327,POINT (6434901.27 5667284.77)
90331,POINT (6434885.42 5667304.89)
90337,POINT (6434918.64 5667323.8)
90339,POINT (6434929.09 5667327.96)
90353,POINT (6433933.62 5665190.96)
90355,POINT (6433917.03 5665113.8)
90357,POINT (6433928.77 5665196.04)
90363,POINT (6434753.91 5665260.07)
91017,POINT (6433745.71 5665272.37)
91019,POINT (6433843.52 5665315.09)
91021,POINT (6433712.15 5665372.77)
91023,POINT (6433726.84 5665364.38)
91071,POINT (6438081.06 5664657.13)
91081,POINT (6435862.17 5667792.35)
91083,POINT (6435866.56 5667783.17)
91735,POINT (6437975.54 5666287.24)
92675,POINT (6427933.92 5665803.35)
92689,POINT (6427921.56 5665861.76)
92691,POINT (6427898.53 5665877.11)
92695,POINT (6427904.18 5665785.71)
92697,POINT (6427888.78 5665788.72)
92699,POINT (6427891.24 5665792.5)
91739,POINT (6437908.57 5666326.07)
62356,POINT (6427575.42 5666402.18)
62358,POINT (6427551.54 5666352.46)
62360,POINT (6427521.01 5666365.8)
62362,POINT (6427512.16 5666369.14)
93769,POINT (6426916.43 5660603.23)
94389,POINT (6431314.6 5657815.36)
94397,POINT (6431332.94 5657813.94)
94401,POINT (6431442.09 5657787.43)
854703,POINT (6432703.79 5659680.65)
94407,POINT (6431619.76 5657961.61)
94411,POINT (6431349.68 5657589.79)
94417,POINT (6431292.26 5657705.87)
854704,POINT (6432698.81 5659660.13)
854706,POINT (6426693.3 5666444.72)
855392,POINT (6436339.62 5664679.18)
855470,POINT (6428722.94 5659218.25)
856733,POINT (6430876.29 5665629.84)
94435,POINT (6433691.51 5665183.44)
94441,POINT (6427865.45 5665701.01)
94443,POINT (6427725.93 5665726.48)
