ID_mpwik,geometry
646949,POINT (6431774.7 5658863.38)
647769,POINT (6431883.93 5657376.48)
545288,POINT (6432027.42 5665272.92)
594508,POINT (6429318.89 5666589.16)
594509,POINT (6429323.76 5666597.96)
645042,POINT (6424595.06 5665603.99)
612342,POINT (6439195.55 5667415.6)
612343,POINT (6439195.98 5667422.53)
612344,POINT (6439217.59 5667403.8)
612345,POINT (6439244.87 5667377.76)
646792,POINT (6432086.37 5659008.32)
646794,POINT (6432112.98 5659020.93)
647716,POINT (6436926.01 5658005.91)
647717,POINT (6436946.4 5658019.75)
647718,POINT (6436967.02 5658033.79)
647719,POINT (6436963.93 5658038.47)
647720,POINT (6436943.37 5658024.49)
647721,POINT (6436922.65 5658010.42)
647722,POINT (6437037.6 5658081.74)
647723,POINT (6437034.44 5658086.36)
646805,POINT (6432138.69 5659042.62)
612351,POINT (6438668.66 5667389.97)
612352,POINT (6438665.97 5667386.35)
612353,POINT (6438630.08 5667403.91)
612354,POINT (6438632.47 5667407.82)
612355,POINT (6438675.87 5667350.77)
612356,POINT (6438710.56 5667333.64)
612357,POINT (6438727.17 5667320.32)
612358,POINT (6438728.22 5667324.76)
612360,POINT (6438645.75 5667326.96)
612361,POINT (6438641.68 5667328.9)
612362,POINT (6438662.21 5667370.54)
612363,POINT (6438670.34 5667366.8)
612364,POINT (6438676.38 5667389.66)
576799,POINT (6422632.35 5667042.92)
576800,POINT (6422643.68 5667083.78)
612365,POINT (6438687.54 5667411.93)
612366,POINT (6438683.58 5667414.09)
612367,POINT (6438653.57 5667230.72)
612368,POINT (6438654.2 5667236.18)
612369,POINT (6438699.65 5667229.28)
643365,POINT (6432564.45 5659274.4)
643366,POINT (6432577.58 5659324.23)
643495,POINT (6427288.67 5662783.24)
576804,POINT (6422665.97 5667173.93)
643606,POINT (6429911.8 5658873.63)
643607,POINT (6429945.77 5658961.15)
643612,POINT (6429802.58 5658921.25)
643820,POINT (6438872.99 5664727.04)
586022,POINT (6427133.12 5667037.63)
574311,POINT (6432541.58 5661197.46)
643156,POINT (6433941.85 5659447.84)
643157,POINT (6433947.24 5659465.71)
643159,POINT (6433919.38 5659373.5)
586506,POINT (6438781.77 5670033.63)
586507,POINT (6438762.56 5669985.19)
586609,POINT (6437871.05 5668206.98)
586610,POINT (6437892.23 5668230.84)
586611,POINT (6437907.08 5668253.91)
586612,POINT (6437859.29 5668254.23)
585352,POINT (6430431.72 5669421.38)
585353,POINT (6430426.94 5669414.87)
652137,POINT (6431974.31 5664619.54)
652141,POINT (6431962.14 5664617.05)
652142,POINT (6431988.21 5664617.87)
652162,POINT (6431986.76 5664568.19)
652159,POINT (6431997.56 5664605.17)
652160,POINT (6431992.98 5664589.64)
652161,POINT (6431991.24 5664583.71)
652592,POINT (6436263.9 5660800.17)
652602,POINT (6427446.67 5668010.75)
652594,POINT (6436273.86 5660865.81)
652595,POINT (6436309.1 5660881.16)
652596,POINT (6436341.82 5660895.55)
652603,POINT (6427449.72 5668013.44)
652606,POINT (6427497.35 5667871.43)
586508,POINT (6438791.69 5670052.27)
586511,POINT (6438857.01 5670080.36)
586512,POINT (6438856.38 5670085.65)
586533,POINT (6438763.96 5669964.16)
652609,POINT (6428446.87 5666689.47)
652610,POINT (6428480.35 5666674.43)
652611,POINT (6428478.03 5666661.68)
652612,POINT (6428443.98 5666670.34)
652613,POINT (6428435.98 5666651.51)
652615,POINT (6428507.94 5666669.12)
652616,POINT (6428505.76 5666656.4)
652617,POINT (6428522.97 5666653.14)
652618,POINT (6428543.4 5666641.88)
652619,POINT (6428547.57 5666661.49)
652620,POINT (6428612.52 5666628.82)
652621,POINT (6428616.07 5666648.39)
652622,POINT (6428650.78 5666641.69)
586110,POINT (6427284.52 5667487.37)
652628,POINT (6428470.76 5666676.23)
586288,POINT (6429290.41 5668405.05)
586289,POINT (6429302.74 5668451.51)
586290,POINT (6429286.54 5668431.8)
586291,POINT (6429263.08 5668438.83)
586292,POINT (6429239.76 5668445.8)
586293,POINT (6429216.03 5668452.85)
22735,POINT (6433413.21 5663854.61)
22739,POINT (6432196.58 5664511.12)
22741,POINT (6432171.56 5664517.94)
22743,POINT (6432175.08 5664516.85)
25287,POINT (6437276.8 5664168.34)
25289,POINT (6437281.36 5664167.35)
576861,POINT (6422733.81 5666903.34)
576862,POINT (6422728.13 5666903.65)
706733,POINT (6439543.27 5667429.91)
706734,POINT (6439560.92 5667420.87)
706735,POINT (6439605.09 5667398.15)
706736,POINT (6439622.88 5667389.06)
706737,POINT (6439640.67 5667379.91)
612158,POINT (6422169.5 5667238.61)
606114,POINT (6439063.71 5668880.17)
606115,POINT (6439163.82 5668906.18)
606116,POINT (6439215.63 5668923.7)
643919,POINT (6438081.02 5664908.69)
606132,POINT (6430724.52 5664444.59)
606133,POINT (6430725.13 5664468.49)
576805,POINT (6422657.32 5667132.8)
706944,POINT (6426860.44 5664357.78)
706975,POINT (6427277.74 5666049.66)
649742,POINT (6426856.77 5661253.72)
649743,POINT (6426869.51 5661219.12)
649747,POINT (6426891.37 5661155.36)
649748,POINT (6426896.3 5661143.84)
648311,POINT (6432507.71 5659446.3)
648324,POINT (6432528.42 5659237.61)
556976,POINT (6420009.46 5667214.4)
556973,POINT (6420045.39 5667167.61)
556974,POINT (6420034.72 5667182.7)
556975,POINT (6420064.9 5667136.56)
556977,POINT (6419982.5 5667243.27)
643960,POINT (6438386.69 5664887.82)
643961,POINT (6438392.02 5664890.05)
586419,POINT (6428184.99 5666927.48)
586420,POINT (6428170.17 5666931.61)
31153,POINT (6429864.93 5664804.87)
586776,POINT (6437951.91 5668296.34)
556972,POINT (6420052.32 5667157.1)
30623,POINT (6429966.69 5665190.84)
585989,POINT (6428115.84 5667616.73)
547551,POINT (6421865.42 5664675.82)
547552,POINT (6421856.52 5664659.05)
549464,POINT (6433480.82 5666267.28)
549465,POINT (6433503.93 5666317.77)
549466,POINT (6433475.69 5666313.08)
549467,POINT (6433480.36 5666290.99)
585207,POINT (6433839.05 5658018.17)
585208,POINT (6433837.26 5657986.66)
643777,POINT (6439008.65 5664769.71)
29559,POINT (6434528.4 5664627.28)
571039,POINT (6432106.09 5665957.72)
586360,POINT (6426263.32 5668353.84)
586361,POINT (6426261.71 5668369.1)
586362,POINT (6426241.56 5668378.53)
586363,POINT (6426239.4 5668365.32)
586364,POINT (6426226.61 5668370.29)
586365,POINT (6426231.02 5668382.56)
586366,POINT (6426182.09 5668358.41)
586370,POINT (6426174.04 5668365.43)
586371,POINT (6426171.21 5668342.39)
586372,POINT (6426162.45 5668348.02)
586373,POINT (6426163.12 5668332.02)
586374,POINT (6426154.98 5668338.63)
586375,POINT (6426176.95 5668409.54)
586376,POINT (6426170.16 5668400.8)
644045,POINT (6438048.03 5664733.06)
644058,POINT (6437881.9 5664720.57)
612207,POINT (6422163.84 5667175.7)
612208,POINT (6422112.01 5667161.28)
612209,POINT (6422084.14 5667170.72)
612224,POINT (6422048.81 5667225.69)
644059,POINT (6437887.48 5664737.37)
612228,POINT (6422072.59 5667266.95)
612229,POINT (6422523.36 5667168.63)
612231,POINT (6422593.39 5667175.68)
585784,POINT (6431276.8 5671798.97)
586378,POINT (6426137.24 5668422.81)
586379,POINT (6426141.9 5668432.23)
586380,POINT (6426166.05 5668417.47)
586406,POINT (6428164.49 5666894.95)
586407,POINT (6428151.89 5666905.82)
586377,POINT (6426161.03 5668408.16)
612605,POINT (6428211.9 5659027.55)
586830,POINT (6437949.86 5668324.43)
586831,POINT (6437954.28 5668319.47)
586832,POINT (6437969.63 5668343.54)
586834,POINT (6437974.17 5668339)
586836,POINT (6437909.01 5668287.73)
586837,POINT (6437912.7 5668282.4)
586842,POINT (6437931.55 5668306.52)
586844,POINT (6437939.78 5668293.36)
584070,POINT (6432418.24 5669137.6)
584071,POINT (6432431.58 5669125.98)
584072,POINT (6432431.88 5669120.88)
