SYMBOL_ROWU,RODZAJ_KOD,ZARUR_SREDNICA,ID_mpwik,Shape_Length,geometry
O-65,1.0,,541,99.9906490505064,"MULTILINESTRING ((6420575.88 5672173.52, 6420583.64 5672171.52, 6420616.32 5672163.31, 6420631.58 5672159.48, 6420646.71 5672155.61, 6420672.83 5672149.05))"
,1.0,,542,189.19804701097598,"MULTILINESTRING ((6421129.44 5672115.63, 6421131.74 5672117.35, 6421154.47 5672150.49, 6421179.86 5672202.51, 6421201.53 5672247.9, 6421215.17 5672276.74, 6421216.34 5672282.68))"
O-25c,1.0,,543,58.99120612429985,"MULTILINESTRING ((6421367.08 5672291.49, 6421336.26 5672341.79))"
O-25c,1.0,,544,14.067444686316229,"MULTILINESTRING ((6421377.16 5672275.13, 6421369.77 5672287.1))"
O-25d,1.0,,545,98.36256655864268,"MULTILINESTRING ((6421376.88 5672252.05, 6421323.97 5672334.97))"
O-25,1.0,,546,13.672599068429825,"MULTILINESTRING ((6420998.03 5672117.23, 6420997.32 5672124.9, 6420996.13 5672130.75))"
B-21.8b,1.0,,547,52.030458981448774,"MULTILINESTRING ((6421376.26 5672200.45, 6421359.49 5672208.59, 6421344.82 5672213.15, 6421326.84 5672214.45))"
O-25f,1.0,,548,163.29960814660953,"MULTILINESTRING ((6421368.44 5672213.92, 6421364.43 5672216.24, 6421342.31 5672221.65, 6421310.59 5672227.93, 6421297.83 5672233.68, 6421274.54 5672249.47, 6421243.31 5672272.32, 6421227.01 5672288.16))"
O-25.20,1.0,,549,24.0210116356297,"MULTILINESTRING ((6417864.45 5671904.94, 6417874.98 5671926.53))"
O-25,1.0,,550,4.570393855487099,"MULTILINESTRING ((6417874.98 5671926.53, 6417878.6 5671923.74))"
O-25.19,1.0,,551,44.970001111591515,"MULTILINESTRING ((6418414.06 5672148.38, 6418414.05 5672103.41))"
O-25.19,1.0,,552,199.5905771831722,"MULTILINESTRING ((6418414.05 5672097.94, 6418413.57 5671898.35))"
O-25.16,1.0,,553,237.85330869484463,"MULTILINESTRING ((6418426.01 5672134.33, 6418426.27 5672036.23, 6418426.05 5671959.13, 6418426.14 5671915.54, 6418426.85 5671909.35, 6418429.76 5671902.15, 6418432.83 5671898.12))"
O-25.16,1.0,,554,9.920020161194428,"MULTILINESTRING ((6418425.98 5672148.24, 6418426 5672138.32))"
O-25.13.17,1.0,,555,17.974551454622766,"MULTILINESTRING ((6418477.94 5671664.97, 6418482.21 5671647.51))"
O-25.13.18,1.0,,556,48.311080509873264,"MULTILINESTRING ((6418443.54 5671750.47, 6418431.63 5671797.29))"
O-25.13.18,1.0,,557,26.310334472016784,"MULTILINESTRING ((6418430.52 5671802.18, 6418424.08 5671827.69))"
O-25.13.18,1.0,,558,30.728634853803115,"MULTILINESTRING ((6418468.76 5671647.67, 6418461.63 5671677.56))"
O-25.16,1.0,,559,28.69217234609685,"MULTILINESTRING ((6418432.83 5671898.12, 6418438.34 5671892.64, 6418446.94 5671890.5, 6418455.55 5671892.18, 6418458.69 5671893.15))"
O-25.19,1.0,,560,14.936348208734756,"MULTILINESTRING ((6418413.57 5671898.35, 6418414.01 5671895.27, 6418413.84 5671885.83, 6418413.71 5671883.45))"
O-25,1.0,,561,184.58849389660108,"MULTILINESTRING ((6418222.48 5671867.79, 6418303.51 5671866.89, 6418379.44 5671866.1, 6418407.05 5671865.38))"
O-25,1.0,,562,18.991364695425382,"MULTILINESTRING ((6418444.87 5671870.18, 6418454.46 5671878.13, 6418460.7 5671880.07))"
O-68,1.0,,564,2.8736736074341866,"MULTILINESTRING ((6418972.61 5671893.73, 6418970.67 5671891.61))"
O-69,1.0,,565,75.12047989695265,"MULTILINESTRING ((6419161.86 5672127.93, 6419155.98 5672053.04))"
O-68,1.0,,566,84.66841409477564,"MULTILINESTRING ((6419034.76 5672140.86, 6419031.57 5672109.15, 6419027.46 5672060.12, 6419025.92 5672056.87))"
O-68,1.0,,568,45.46495843805802,"MULTILINESTRING ((6418953.48 5671830.31, 6418960.78 5671844.23, 6418963.6 5671855.92, 6418964.13 5671865.78, 6418963.79 5671873.62))"
O-68,1.0,,569,17.346221491201042,"MULTILINESTRING ((6418970.67 5671891.61, 6418959.84 5671878.06))"
O-25.13.14,1.0,,570,28.56816186165853,"MULTILINESTRING ((6418968.82 5671802.92, 6418966.64 5671803.19, 6418961.47 5671800.64, 6418953.42 5671796.72, 6418948.69 5671786.07))"
O-25,1.0,,571,250.9601790373752,"MULTILINESTRING ((6418571.11 5671789.92, 6418589.41 5671786.84, 6418592.37 5671790.13, 6418598.61 5671788.02, 6418601.56 5671791.9, 6418605.8 5671791.37, 6418621.3 5671800.47, 6418647.25 5671802.05, 6418656.18 5671798.3, 6418661.83 5671801.03, 6418667.87 5671798.14, 6418673.52 5671790.59, 6418702.16 5671802.28, 6418710.12 5671800, 6418712.97 5671798.44, 6418714.35 5671798.41, 6418715.67 5671798.55, 6418716.91 5671799.39, 6418717.87 5671800.69, 6418718.66 5671801.88, 6418719.77 5671802.57, 6418722.89 5671803.44, 6418724.69 5671804.1, 6418725.91 5671804.29, 6418727.29 5671804.07, 6418729.15 5671803.61, 6418730.24 5671803.54, 6418730.96 5671803.73, 6418735.59 5671804.96, 6418744.54 5671808.09, 6418747.81 5671809.24, 6418763.71 5671809.37, 6418781.18 5671814.23, 6418797.21 5671829.08))"
,1.0,,573,23.528412754079476,"MULTILINESTRING ((6418949.97 5671822.78, 6418946.7 5671815.46, 6418946.11 5671799.96))"
